year,month,total_precip_mm,date
1941,4,115.6,1941-04-01
1941,5,141.5,1941-05-01
1941,6,63.8,1941-06-01
1941,7,66.5,1941-07-01
1941,8,83.1,1941-08-01
1941,9,59.9,1941-09-01
1941,10,150.1,1941-10-01
1941,11,117.9,1941-11-01
1941,12,147.3,1941-12-01
1942,1,133.4,1942-01-01
1942,2,66.0,1942-02-01
1942,3,144.0,1942-03-01
1942,4,143.5,1942-04-01
1942,5,55.4,1942-05-01
1942,6,102.6,1942-06-01
1942,7,117.9,1942-07-01
1942,8,59.4,1942-08-01
1942,9,117.1,1942-09-01
1942,10,172.0,1942-10-01
1942,11,142.2,1942-11-01
1942,12,103.1,1942-12-01
1943,1,46.7,1943-01-01
1943,2,126.2,1943-02-01
1943,3,117.3,1943-03-01
1943,4,56.6,1943-04-01
1943,5,123.4,1943-05-01
1943,6,74.2,1943-06-01
1943,7,94.2,1943-07-01
1943,8,113.0,1943-08-01
1943,9,151.6,1943-09-01
1943,10,107.7,1943-10-01
1943,11,222.5,1943-11-01
1943,12,54.4,1943-12-01
1944,1,51.1,1944-01-01
1944,2,98.8,1944-02-01
1944,3,60.5,1944-03-01
1944,4,68.1,1944-04-01
1944,5,41.7,1944-05-01
1944,6,132.8,1944-06-01
1944,7,55.9,1944-07-01
1944,8,25.1,1944-08-01
1944,9,110.0,1944-09-01
1944,10,253.0,1944-10-01
1944,11,199.1,1944-11-01
1944,12,144.5,1944-12-01
1945,1,178.6,1945-01-01
1945,2,80.0,1945-02-01
1945,3,76.5,1945-03-01
1945,4,84.3,1945-04-01
1945,5,160.8,1945-05-01
1945,6,158.2,1945-06-01
1945,7,66.3,1945-07-01
1945,8,100.3,1945-08-01
1945,9,89.2,1945-09-01
1945,10,214.6,1945-10-01
1945,11,212.6,1945-11-01
1945,12,129.8,1945-12-01
1946,1,55.9,1946-01-01
1946,2,115.3,1946-02-01
1946,3,38.6,1946-03-01
1946,4,124.0,1946-04-01
1946,5,100.1,1946-05-01
1946,6,39.9,1946-06-01
1946,7,68.1,1946-07-01
1946,8,137.4,1946-08-01
1946,9,130.6,1946-09-01
1946,10,73.9,1946-10-01
1946,11,40.1,1946-11-01
1946,12,164.3,1946-12-01
1947,1,107.2,1947-01-01
1947,2,108.5,1947-02-01
1947,3,126.5,1947-03-01
1947,4,68.6,1947-04-01
1947,5,137.2,1947-05-01
1947,6,104.9,1947-06-01
1947,7,74.2,1947-07-01
1947,8,71.9,1947-08-01
1947,9,226.6,1947-09-01
1947,10,45.2,1947-10-01
1947,11,156.0,1947-11-01
1947,12,97.0,1947-12-01
1948,1,202.2,1948-01-01
1948,2,100.6,1948-02-01
1948,3,79.2,1948-03-01
1948,4,116.8,1948-04-01
1948,5,162.6,1948-05-01
1948,6,79.8,1948-06-01
1948,7,55.6,1948-07-01
1948,8,82.3,1948-08-01
1948,9,121.4,1948-09-01
1948,10,102.6,1948-10-01
1948,11,122.9,1948-11-01
1948,12,139.7,1948-12-01
1949,1,97.3,1949-01-01
1949,2,145.3,1949-02-01
1949,3,144.3,1949-03-01
1949,4,101.6,1949-04-01
1949,5,81.5,1949-05-01
1949,6,77.5,1949-06-01
1949,7,39.6,1949-07-01
1949,8,69.6,1949-08-01
1949,9,257.0,1949-09-01
1949,10,83.3,1949-10-01
1949,11,197.4,1949-11-01
1949,12,63.2,1949-12-01
1950,1,103.4,1950-01-01
1950,2,107.4,1950-02-01
1950,3,108.2,1950-03-01
1950,4,140.0,1950-04-01
1950,5,83.3,1950-05-01
1950,6,51.3,1950-06-01
1950,7,35.1,1950-07-01
1950,8,85.6,1950-08-01
1950,9,40.6,1950-09-01
1950,10,63.8,1950-10-01
1950,11,57.9,1950-11-01
1950,12,145.3,1950-12-01
1951,1,113.0,1951-01-01
1951,2,150.4,1951-02-01
1951,3,81.0,1951-03-01
1951,4,169.4,1951-04-01
1951,5,97.8,1951-05-01
1951,6,70.6,1951-06-01
1951,7,61.0,1951-07-01
1951,8,201.9,1951-08-01
1951,9,35.1,1951-09-01
1951,10,73.4,1951-10-01
1951,11,177.8,1951-11-01
1951,12,163.8,1951-12-01
1952,1,215.6,1952-01-01
1952,2,216.7,1952-02-01
1952,3,87.4,1952-03-01
1952,4,52.3,1952-04-01
1952,5,161.3,1952-05-01
1952,6,75.7,1952-06-01
1952,7,31.8,1952-07-01
1952,8,145.3,1952-08-01
1952,9,37.8,1952-09-01
1952,10,59.7,1952-10-01
1952,11,127.3,1952-11-01
1952,12,104.4,1952-12-01
1953,1,95.0,1953-01-01
1953,2,121.2,1953-02-01
1953,3,144.8,1953-03-01
1953,4,102.4,1953-04-01
1953,5,74.2,1953-05-01
1953,6,52.6,1953-06-01
1953,7,95.8,1953-07-01
1953,8,77.2,1953-08-01
1953,9,62.7,1953-09-01
1953,10,129.0,1953-10-01
1953,11,67.1,1953-11-01
1953,12,197.9,1953-12-01
1954,1,215.4,1954-01-01
1954,2,132.6,1954-02-01
1954,3,98.8,1954-03-01
1954,4,46.5,1954-04-01
1954,5,132.3,1954-05-01
1954,6,28.2,1954-06-01
1954,7,132.8,1954-07-01
1954,8,155.7,1954-08-01
1954,9,40.9,1954-09-01
1954,10,134.4,1954-10-01
1954,11,122.4,1954-11-01
1954,12,137.4,1954-12-01
1955,1,191.8,1955-01-01
1955,2,114.0,1955-02-01
1955,3,128.3,1955-03-01
1955,4,109.0,1955-04-01
1955,5,103.6,1955-05-01
1955,6,108.5,1955-06-01
1955,7,108.0,1955-07-01
1955,8,100.8,1955-08-01
1955,9,126.5,1955-09-01
1955,10,119.1,1955-10-01
1955,11,124.5,1955-11-01
1955,12,101.3,1955-12-01
1956,1,247.9,1956-01-01
1956,2,137.4,1956-02-01
1956,3,186.4,1956-03-01
1956,4,109.2,1956-04-01
1956,5,145.5,1956-05-01
1956,6,104.4,1956-06-01
1956,7,62.0,1956-07-01
1956,8,91.9,1956-08-01
1956,9,34.8,1956-09-01
1956,10,37.8,1956-10-01
1956,11,184.4,1956-11-01
1956,12,115.1,1956-12-01
1957,1,155.7,1957-01-01
1957,2,105.9,1957-02-01
1957,3,142.5,1957-03-01
1957,4,73.4,1957-04-01
1957,5,69.9,1957-05-01
1957,6,28.4,1957-06-01
1957,7,29.0,1957-07-01
1957,8,43.9,1957-08-01
1957,9,54.6,1957-09-01
1957,10,65.5,1957-10-01
1957,11,228.1,1957-11-01
1957,12,79.0,1957-12-01
1958,1,120.1,1958-01-01
1958,2,120.9,1958-02-01
1958,3,89.7,1958-03-01
1958,4,118.1,1958-04-01
1958,5,167.4,1958-05-01
1958,6,75.7,1958-06-01
1958,7,104.4,1958-07-01
1958,8,129.5,1958-08-01
1958,9,158.0,1958-09-01
1958,10,43.2,1958-10-01
1958,11,210.8,1958-11-01
1958,12,132.6,1958-12-01
1959,1,77.5,1959-01-01
1959,2,109.7,1959-02-01
1959,3,148.1,1959-03-01
1959,4,101.6,1959-04-01
1959,5,38.6,1959-05-01
1959,6,110.2,1959-06-01
1959,7,19.3,1959-07-01
1959,8,135.6,1959-08-01
1959,9,88.6,1959-09-01
1959,10,108.7,1959-10-01
1959,11,191.8,1959-11-01
1959,12,101.9,1959-12-01
1960,1,121.2,1960-01-01
1960,2,107.7,1960-02-01
1960,3,118.9,1960-03-01
1960,4,23.6,1960-04-01
1960,5,23.4,1960-05-01
1960,6,156.7,1960-06-01
1960,7,56.6,1960-07-01
1960,8,67.3,1960-08-01
1960,9,95.3,1960-09-01
1960,10,108.2,1960-10-01
1960,11,82.0,1960-11-01
1960,12,138.2,1960-12-01
1961,1,147.1,1961-01-01
1961,2,75.4,1961-02-01
1961,3,235.7,1961-03-01
1961,4,121.7,1961-04-01
1961,5,128.5,1961-05-01
1961,6,73.9,1961-06-01
1961,7,40.9,1961-07-01
1961,8,17.8,1961-08-01
1961,9,48.8,1961-09-01
1961,10,132.3,1961-10-01
1961,11,153.9,1961-11-01
1961,12,161.3,1961-12-01
1962,1,109.7,1962-01-01
1962,2,159.3,1962-02-01
1962,3,77.7,1962-03-01
1962,4,86.1,1962-04-01
1962,5,35.8,1962-05-01
1962,6,62.0,1962-06-01
1962,7,174.0,1962-07-01
1962,8,84.3,1962-08-01
1962,9,96.3,1962-09-01
1962,10,178.8,1962-10-01
1962,11,233.4,1962-11-01
1962,12,211.3,1962-12-01
1963,1,189.7,1963-01-01
1963,2,109.0,1963-02-01
1963,3,77.5,1963-03-01
1963,4,85.1,1963-04-01
1963,5,60.5,1963-05-01
1963,6,74.2,1963-06-01
1963,7,49.3,1963-07-01
1963,8,148.1,1963-08-01
1963,9,143.5,1963-09-01
1963,10,35.8,1963-10-01
1963,11,141.7,1963-11-01
1963,12,162.1,1963-12-01
1964,1,224.0,1964-01-01
1964,2,158.2,1964-02-01
1964,3,118.4,1964-03-01
1964,4,81.8,1964-04-01
1964,5,56.9,1964-05-01
1964,6,96.5,1964-06-01
1964,7,150.4,1964-07-01
1964,8,102.6,1964-08-01
1964,9,138.7,1964-09-01
1964,10,124.2,1964-10-01
1964,11,71.1,1964-11-01
1964,12,249.9,1964-12-01
1965,1,180.3,1965-01-01
1965,2,189.5,1965-02-01
1965,3,102.4,1965-03-01
1965,4,125.0,1965-04-01
1965,5,82.0,1965-05-01
1965,6,54.6,1965-06-01
1965,7,111.8,1965-07-01
1965,8,74.4,1965-08-01
1965,9,40.6,1965-09-01
1965,10,103.4,1965-10-01
1965,11,132.8,1965-11-01
1965,12,91.2,1965-12-01
1966,1,130.3,1966-01-01
1966,2,43.2,1966-02-01
1966,3,125.5,1966-03-01
1966,4,24.4,1966-04-01
1966,5,80.8,1966-05-01
1966,6,104.6,1966-06-01
1966,7,86.1,1966-07-01
1966,8,74.4,1966-08-01
1966,9,79.5,1966-09-01
1966,10,182.9,1966-10-01
1966,11,81.8,1966-11-01
1966,12,152.9,1966-12-01
1967,1,109.2,1967-01-01
1967,2,143.5,1967-02-01
1967,3,232.2,1967-03-01
1967,4,94.0,1967-04-01
1967,5,234.4,1967-05-01
1967,6,23.6,1967-06-01
1967,7,66.8,1967-07-01
1967,8,75.9,1967-08-01
1967,9,88.6,1967-09-01
1967,10,143.8,1967-10-01
1967,11,224.3,1967-11-01
1967,12,145.5,1967-12-01
1968,1,134.1,1968-01-01
1968,2,96.3,1968-02-01
1968,3,134.1,1968-03-01
1968,4,106.9,1968-04-01
1968,5,90.2,1968-05-01
1968,6,66.5,1968-06-01
1968,7,35.3,1968-07-01
1968,8,166.9,1968-08-01
1968,9,63.8,1968-09-01
1968,10,90.7,1968-10-01
1968,11,272.3,1968-11-01
1968,12,161.0,1968-12-01
1969,1,178.8,1969-01-01
1969,2,97.8,1969-02-01
1969,3,105.4,1969-03-01
1969,4,148.6,1969-04-01
1969,5,62.2,1969-05-01
1969,6,70.9,1969-06-01
1969,7,130.8,1969-07-01
1969,8,51.1,1969-08-01
1969,9,116.1,1969-09-01
1969,10,98.0,1969-10-01
1969,11,333.8,1969-11-01
1969,12,213.4,1969-12-01
1970,1,47.0,1970-01-01
1970,2,100.1,1970-02-01
1970,3,129.0,1970-03-01
1970,4,56.9,1970-04-01
1970,5,56.6,1970-05-01
1970,6,98.8,1970-06-01
1970,7,132.1,1970-07-01
1970,8,217.7,1970-08-01
1970,9,118.4,1970-09-01
1970,10,120.1,1970-10-01
1970,11,209.8,1970-11-01
1970,12,183.4,1970-12-01
1971,1,115.1,1971-01-01
1971,2,111.0,1971-02-01
1971,3,202.2,1971-03-01
1971,4,192.3,1971-04-01
1971,5,86.9,1971-05-01
1971,6,43.2,1971-06-01
1971,7,27.4,1971-07-01
1971,8,134.9,1971-08-01
1971,9,70.6,1971-09-01
1971,10,64.8,1971-10-01
1971,11,249.9,1971-11-01
1971,12,161.5,1971-12-01
1972,1,137.7,1972-01-01
1972,2,152.7,1972-02-01
1972,3,122.2,1972-03-01
1972,4,131.1,1972-04-01
1972,5,95.5,1972-05-01
1972,6,125.5,1972-06-01
1972,7,68.3,1972-07-01
1972,8,71.4,1972-08-01
1972,9,66.3,1972-09-01
1972,10,245.4,1972-10-01
1972,11,210.1,1972-11-01
1972,12,182.6,1972-12-01
1973,1,123.7,1973-01-01
1973,2,212.1,1973-02-01
1973,3,87.9,1973-03-01
1973,4,69.9,1973-04-01
1973,5,139.4,1973-05-01
1973,6,179.3,1973-06-01
1973,7,123.7,1973-07-01
1973,8,105.9,1973-08-01
1973,9,46.0,1973-09-01
1973,10,129.5,1973-10-01
1973,11,74.7,1973-11-01
1973,12,142.2,1973-12-01
1974,1,127.0,1974-01-01
1974,2,170.7,1974-02-01
1974,3,167.9,1974-03-01
1974,4,118.4,1974-04-01
1974,5,96.3,1974-05-01
1974,6,29.7,1974-06-01
1974,7,69.9,1974-07-01
1974,8,101.6,1974-08-01
1974,9,92.7,1974-09-01
1974,10,176.0,1974-10-01
1974,11,109.5,1974-11-01
1974,12,150.1,1974-12-01
1975,1,198.1,1975-01-01
1975,2,49.3,1975-02-01
1975,3,145.8,1975-03-01
1975,4,140.7,1975-04-01
1975,5,86.6,1975-05-01
1975,6,74.9,1975-06-01
1975,7,26.9,1975-07-01
1975,8,57.4,1975-08-01
1975,9,73.4,1975-09-01
1975,10,187.2,1975-10-01
1975,11,100.1,1975-11-01
1975,12,258.3,1975-12-01
1976,1,117.6,1976-01-01
1976,2,129.3,1976-02-01
1976,3,79.2,1976-03-01
1976,4,75.4,1976-04-01
1976,5,112.8,1976-05-01
1976,6,47.5,1976-06-01
1976,7,101.6,1976-07-01
1976,8,49.0,1976-08-01
1976,9,117.9,1976-09-01
1976,10,171.5,1976-10-01
1976,11,177.3,1976-11-01
1976,12,270.8,1976-12-01
1977,1,147.1,1977-01-01
1977,2,111.3,1977-02-01
1977,3,134.5,1977-03-01
1977,4,92.2,1977-04-01
1977,5,63.7,1977-05-01
1977,6,172.2,1977-06-01
1977,7,66.4,1977-07-01
1977,8,99.7,1977-08-01
1977,9,153.9,1977-09-01
1977,10,129.8,1977-10-01
1977,11,141.0,1977-11-01
1977,12,212.2,1977-12-01
1978,1,245.9,1978-01-01
1978,2,96.4,1978-02-01
1978,3,136.7,1978-03-01
1978,4,149.1,1978-04-01
1978,5,39.7,1978-05-01
1978,6,133.1,1978-06-01
1978,7,47.9,1978-07-01
1978,8,41.5,1978-08-01
1978,9,127.2,1978-09-01
1978,10,122.0,1978-10-01
1978,11,71.9,1978-11-01
1978,12,112.1,1978-12-01
1979,1,145.9,1979-01-01
1979,2,117.8,1979-02-01
1979,3,162.4,1979-03-01
1979,4,93.5,1979-04-01
1979,5,121.4,1979-05-01
1979,6,42.0,1979-06-01
1979,7,143.0,1979-07-01
1979,8,117.7,1979-08-01
1979,9,75.8,1979-09-01
1979,10,219.7,1979-10-01
1979,11,135.1,1979-11-01
1979,12,213.4,1979-12-01
1980,1,107.1,1980-01-01
1980,2,67.1,1980-02-01
1980,3,139.7,1980-03-01
1980,4,160.7,1980-04-01
1980,5,111.8,1980-05-01
1980,6,77.6,1980-06-01
1980,7,89.5,1980-07-01
1980,8,97.3,1980-08-01
1980,9,123.4,1980-09-01
1980,10,147.2,1980-10-01
1980,11,171.8,1980-11-01
1980,12,200.6,1980-12-01
1981,1,160.1,1981-01-01
1981,2,70.3,1981-02-01
1981,3,95.5,1981-03-01
1981,4,104.3,1981-04-01
1981,5,181.3,1981-05-01
1981,6,74.4,1981-06-01
1981,7,115.5,1981-07-01
1981,8,156.2,1981-08-01
1981,9,133.6,1981-09-01
1981,10,194.4,1981-10-01
1981,11,144.5,1981-11-01
1981,12,220.0,1981-12-01
1982,1,240.2,1982-01-01
1982,2,171.7,1982-02-01
1982,3,98.0,1982-03-01
1982,4,192.0,1982-04-01
1982,5,138.0,1982-05-01
1982,6,153.4,1982-06-01
1982,7,40.4,1982-07-01
1982,8,74.6,1982-08-01
1982,9,95.2,1982-09-01
1982,10,68.0,1982-10-01
1982,11,125.8,1982-11-01
1982,12,128.9,1982-12-01
1983,1,195.2,1983-01-01
1983,2,193.3,1983-02-01
1983,3,203.2,1983-03-01
1983,4,185.6,1983-04-01
1983,5,123.6,1983-05-01
1983,6,58.6,1983-06-01
1983,7,218.0,1983-07-01
1983,8,142.0,1983-08-01
1983,9,168.6,1983-09-01
1983,10,103.0,1983-10-01
1983,11,173.0,1983-11-01
1983,12,209.6,1983-12-01
1984,1,205.9,1984-01-01
1984,2,100.4,1984-02-01
1984,3,107.0,1984-03-01
1984,4,204.1,1984-04-01
1984,5,116.0,1984-05-01
1984,6,73.6,1984-06-01
1984,7,50.7,1984-07-01
1984,8,183.9,1984-08-01
1984,9,120.1,1984-09-01
1984,10,69.8,1984-10-01
1984,11,109.7,1984-11-01
1984,12,117.3,1984-12-01
1985,1,103.4,1985-01-01
1985,2,114.5,1985-02-01
1985,3,117.9,1985-03-01
1985,4,64.7,1985-04-01
1985,5,117.0,1985-05-01
1985,6,182.8,1985-06-01
1985,7,79.0,1985-07-01
1985,8,95.6,1985-08-01
1985,9,42.3,1985-09-01
1985,10,96.8,1985-10-01
1985,11,105.7,1985-11-01
1985,12,149.6,1985-12-01
1986,1,175.8,1986-01-01
1986,2,158.2,1986-02-01
1986,3,141.3,1986-03-01
1986,4,156.2,1986-04-01
1986,5,55.7,1986-05-01
1986,6,101.5,1986-06-01
1986,7,115.8,1986-07-01
1986,8,76.0,1986-08-01
1986,9,130.4,1986-09-01
1986,10,87.3,1986-10-01
1986,11,158.4,1986-11-01
1986,12,67.4,1986-12-01
1987,1,159.0,1987-01-01
1987,2,99.9,1987-02-01
1987,3,124.7,1987-03-01
1987,4,163.2,1987-04-01
1987,5,45.8,1987-05-01
1987,6,147.2,1987-06-01
1987,7,17.9,1987-07-01
1987,8,55.0,1987-08-01
1987,9,180.6,1987-09-01
1987,10,193.5,1987-10-01
1987,11,168.6,1987-11-01
1987,12,207.7,1987-12-01
1988,1,118.5,1988-01-01
1988,2,191.6,1988-02-01
1988,3,142.4,1988-03-01
1988,4,267.2,1988-04-01
1988,5,95.4,1988-05-01
1988,6,100.1,1988-06-01
1988,7,143.4,1988-07-01
1988,8,119.7,1988-08-01
1988,9,69.6,1988-09-01
1988,10,197.8,1988-10-01
1988,11,191.4,1988-11-01
1988,12,74.5,1988-12-01
1989,1,124.1,1989-01-01
1989,2,149.4,1989-02-01
1989,3,135.4,1989-03-01
1989,4,98.4,1989-04-01
1989,5,22.6,1989-05-01
1989,6,99.2,1989-06-01
1989,7,42.7,1989-07-01
1989,8,61.2,1989-08-01
1989,9,119.6,1989-09-01
1989,10,134.4,1989-10-01
1989,11,207.2,1989-11-01
1989,12,58.8,1989-12-01
1990,1,148.5,1990-01-01
1990,2,112.1,1990-02-01
1990,3,54.8,1990-03-01
1990,4,169.2,1990-04-01
1990,5,202.9,1990-05-01
1990,6,93.1,1990-06-01
1990,7,48.4,1990-07-01
1990,8,62.5,1990-08-01
1990,9,153.0,1990-09-01
1990,10,177.4,1990-10-01
1990,11,130.4,1990-11-01
1990,12,314.7,1990-12-01
1991,1,108.8,1991-01-01
1991,2,80.4,1991-02-01
1991,3,164.5,1991-03-01
1991,4,51.2,1991-04-01
1991,5,50.7,1991-05-01
1991,6,33.4,1991-06-01
1991,7,93.0,1991-07-01
1991,8,112.5,1991-08-01
1991,9,167.0,1991-09-01
1991,10,183.5,1991-10-01
1991,11,188.2,1991-11-01
1991,12,130.7,1991-12-01
1992,1,107.2,1992-01-01
1992,2,220.7,1992-02-01
1992,3,186.5,1992-03-01
1992,4,107.2,1992-04-01
1992,5,60.7,1992-05-01
1992,6,118.9,1992-06-01
1992,7,85.6,1992-07-01
1992,8,94.7,1992-08-01
1992,9,93.4,1992-09-01
1992,10,185.5,1992-10-01
1992,11,78.8,1992-11-01
1992,12,131.1,1992-12-01
1993,1,116.3,1993-01-01
1993,2,178.4,1993-02-01
1993,3,189.9,1993-03-01
1993,4,140.6,1993-04-01
1993,5,99.8,1993-05-01
1993,6,82.0,1993-06-01
1993,7,103.3,1993-07-01
1993,8,47.5,1993-08-01
1993,9,100.4,1993-09-01
1993,10,211.2,1993-10-01
1993,11,89.9,1993-11-01
1993,12,251.5,1993-12-01
1994,1,139.9,1994-01-01
1994,2,82.2,1994-02-01
1994,3,194.0,1994-03-01
1994,4,88.8,1994-04-01
1994,5,201.1,1994-05-01
1994,6,67.8,1994-06-01
1994,7,23.8,1994-07-01
1994,8,111.3,1994-08-01
1994,9,120.4,1994-09-01
1994,10,89.0,1994-10-01
1994,11,125.8,1994-11-01
1994,12,108.7,1994-12-01
1995,1,134.4,1995-01-01
1995,2,111.5,1995-02-01
1995,3,64.6,1995-03-01
1995,4,42.6,1995-04-01
1995,5,99.4,1995-05-01
1995,6,130.4,1995-06-01
1995,7,89.6,1995-07-01
1995,8,63.2,1995-08-01
1995,9,75.8,1995-09-01
1995,10,95.2,1995-10-01
1995,11,165.6,1995-11-01
1995,12,120.1,1995-12-01
1996,1,118.3,1996-01-01
1996,2,187.0,1996-02-01
1996,3,134.3,1996-03-01
1996,4,112.2,1996-04-01
1996,5,97.0,1996-05-01
1996,6,33.6,1996-06-01
1996,7,158.2,1996-07-01
1996,8,106.4,1996-08-01
1996,9,334.0,1996-09-01
1996,10,88.6,1996-10-01
1996,11,177.0,1996-11-01
1996,12,212.2,1996-12-01
1997,1,174.6,1997-01-01
1997,2,84.4,1997-02-01
1997,3,93.1,1997-03-01
1997,4,120.4,1997-04-01
1997,5,105.0,1997-05-01
1997,6,61.2,1997-06-01
1997,7,40.2,1997-07-01
1997,8,139.1,1997-08-01
1997,9,79.2,1997-09-01
1997,10,59.0,1997-10-01
1997,11,194.4,1997-11-01
1997,12,124.6,1997-12-01
1998,1,176.4,1998-01-01
1998,2,151.8,1998-02-01
1998,3,184.2,1998-03-01
1998,4,183.6,1998-04-01
1998,5,179.6,1998-05-01
1998,6,128.8,1998-06-01
1998,7,220.0,1998-07-01
1998,8,71.0,1998-08-01
1998,9,164.0,1998-09-01
1998,10,109.6,1998-10-01
1998,11,118.0,1998-11-01
1998,12,103.6,1998-12-01
1999,1,174.0,1999-01-01
1999,2,214.6,1999-02-01
1999,3,253.8,1999-03-01
1999,4,162.4,1999-04-01
1999,5,51.4,1999-05-01
1999,6,52.2,1999-06-01
1999,7,118.8,1999-07-01
1999,8,100.8,1999-08-01
1999,9,47.8,1999-09-01
1999,10,163.6,1999-10-01
1999,11,73.8,1999-11-01
1999,12,195.0,1999-12-01
2000,1,196.8,2000-01-01
2000,2,73.2,2000-02-01
2000,3,103.5,2000-03-01
2000,4,74.2,2000-04-01
2000,5,90.4,2000-05-01
2000,6,61.4,2000-06-01
2000,7,62.6,2000-07-01
2000,8,41.6,2000-08-01
2000,9,58.2,2000-09-01
2000,10,279.0,2000-10-01
2000,11,351.2,2000-11-01
2000,12,151.8,2000-12-01
2001,1,136.8,2001-01-01
2001,2,126.0,2001-02-01
2001,3,84.2,2001-03-01
2001,4,202.4,2001-04-01
2001,5,63.8,2001-05-01
2001,6,79.4,2001-06-01
2001,7,53.0,2001-07-01
2001,8,30.8,2001-08-01
2001,9,99.2,2001-09-01
2001,10,80.6,2001-10-01
2001,11,110.4,2001-11-01
2001,12,104.4,2001-12-01
2002,1,174.8,2002-01-01
2002,2,184.2,2002-02-01
2002,3,135.0,2002-03-01
2002,4,108.3,2002-04-01
2002,5,84.0,2002-05-01
2002,6,93.6,2002-06-01
2002,7,67.6,2002-07-01
2002,8,97.0,2002-08-01
2002,9,142.6,2002-09-01
2002,10,167.8,2002-10-01
2002,11,238.6,2002-11-01
2002,12,128.5,2002-12-01
2003,1,214.2,2003-01-01
2003,2,139.0,2003-02-01
2003,3,122.6,2003-03-01
2003,4,203.2,2003-04-01
2003,5,135.9,2003-05-01
2003,6,131.7,2003-06-01
2003,7,78.2,2003-07-01
2003,8,114.0,2003-08-01
2003,9,124.2,2003-09-01
2003,10,153.7,2003-10-01
2004,4,119.4,2004-04-01
2004,5,44.2,2004-05-01
2004,6,55.2,2004-06-01
2004,7,54.8,2004-07-01
2004,8,65.4,2004-08-01
2004,9,121.6,2004-09-01
2004,10,90.6,2004-10-01
2004,11,180.2,2004-11-01
2004,12,213.8,2004-12-01
2005,1,143.1,2005-01-01
2005,2,79.6,2005-02-01
2005,3,200.8,2005-03-01
2005,4,98.1,2005-04-01
2005,5,126.8,2005-05-01
2005,6,28.5,2005-06-01
2005,7,39.8,2005-07-01
2005,8,78.4,2005-08-01
2005,9,79.8,2005-09-01
2005,10,257.8,2005-10-01
2005,11,143.4,2005-11-01
2005,12,157.4,2005-12-01
2006,1,126.4,2006-01-01
2006,2,93.6,2006-02-01
2006,3,31.7,2006-03-01
2006,4,188.7,2006-04-01
2006,5,124.4,2006-05-01
2006,6,147.7,2006-06-01
2006,7,87.4,2006-07-01
2006,8,45.2,2006-08-01
2006,9,47.0,2006-09-01
2006,10,195.4,2006-10-01
2006,11,97.8,2006-11-01
2006,12,134.6,2006-12-01
2007,1,126.6,2007-01-01
2007,2,25.0,2007-02-01
2007,3,58.6,2007-03-01
2007,4,76.1,2007-04-01
2007,5,53.0,2007-05-01
2007,6,51.4,2007-06-01
2007,7,145.8,2007-07-01
2007,8,137.9,2007-08-01
2007,9,184.9,2007-09-01
2007,10,63.0,2007-10-01
2007,11,181.0,2007-11-01
2007,12,138.1,2007-12-01
2008,1,151.4,2008-01-01
2008,2,155.4,2008-02-01
2008,3,129.9,2008-03-01
2008,4,56.4,2008-04-01
2008,5,170.8,2008-05-01
2008,6,88.2,2008-06-01
2008,7,64.8,2008-07-01
2008,8,252.2,2008-08-01
2008,9,60.6,2008-09-01
2008,10,138.8,2008-10-01
2008,11,195.4,2008-11-01
2008,12,213.0,2008-12-01
2009,1,148.4,2009-01-01
2009,2,100.4,2009-02-01
2009,3,91.8,2009-03-01
2009,4,138.8,2009-04-01
2009,6,206.7,2009-06-01
2009,7,71.3,2009-07-01
2009,8,177.5,2009-08-01
2009,9,130.2,2009-09-01
2009,10,208.4,2009-10-01
2009,11,164.9,2009-11-01
2009,12,191.5,2009-12-01
2010,1,123.6,2010-01-01
2010,2,65.3,2010-02-01
2010,3,127.0,2010-03-01
2010,4,119.2,2010-04-01
2010,5,55.5,2010-05-01
2010,6,172.0,2010-06-01
2010,7,124.3,2010-07-01
2010,8,91.8,2010-08-01
2010,9,241.3,2010-09-01
2010,10,135.7,2010-10-01
2010,11,103.0,2010-11-01
2010,12,442.5,2010-12-01
2011,1,183.2,2011-01-01
2011,2,188.8,2011-02-01
2011,3,41.6,2011-03-01
2011,4,106.3,2011-04-01
2011,5,119.6,2011-05-01
2012,3,55.4,2012-03-01
2012,4,96.2,2012-04-01
2012,5,79.1,2012-05-01
2012,6,79.2,2012-06-01
2012,7,63.2,2012-07-01
2012,8,102.9,2012-08-01
2012,9,291.3,2012-09-01
2012,10,121.8,2012-10-01
2012,11,132.8,2012-11-01
2012,12,151.7,2012-12-01
2013,1,45.5,2013-01-01
2013,2,204.2,2013-02-01
2013,3,120.0,2013-03-01
2013,4,95.6,2013-04-01
2013,5,126.0,2013-05-01
2013,6,183.4,2013-06-01
2013,7,50.9,2013-07-01
2013,8,107.7,2013-08-01
2013,9,151.2,2013-09-01
2013,10,120.2,2013-10-01
2013,11,156.3,2013-11-01
2013,12,257.5,2013-12-01
2014,1,212.5,2014-01-01
2014,2,153.3,2014-02-01
2014,3,199.6,2014-03-01
2014,4,155.8,2014-04-01
2014,5,89.3,2014-05-01
2014,6,144.0,2014-06-01
