Year,Sectors,Emissions
2013-01-01,Accommodation and food services [BS72000],59.0
2013-01-01,Administrative and support services [BS56100],34.0
2013-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2013-01-01,"Advertising, public relations and related services [BS54180]",1.0
2013-01-01,Aerospace product and parts manufacturing [BS33640],8.0
2013-01-01,Air transportation [BS48100],381.0
2013-01-01,Animal food manufacturing [BS31110],8.0
2013-01-01,"Arts, entertainment and recreation [BS71000]",2.0
2013-01-01,Balancing item: Aviation,-241.0
2013-01-01,Balancing item: Biomass,-1528.0
2013-01-01,Balancing item: Motor fuels,-250.0
2013-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,103.0
2013-01-01,Balancing item: Other differences,671.0
2013-01-01,Balancing item: Synthetic fluorinated gases,270.0
2013-01-01,Balancing item: Waste,510.0
2013-01-01,Basic chemical manufacturing [BS32510],17.0
2013-01-01,Breweries [BS31212],3.0
2013-01-01,Cement and concrete product manufacturing [BS32730],277.0
2013-01-01,Clothing and leather and allied product manufacturing [BS31B00],13.0
2013-01-01,Coal mining [BS21210],92.0
2013-01-01,Communication engineering construction [BS23C40],2.0
2013-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2013-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",12.0
2013-01-01,Converted paper product manufacturing [BS32220],13.0
2013-01-01,Crop and animal production [BS11A00],573.0
2013-01-01,Dairy product manufacturing [BS31150],12.0
2013-01-01,Depository credit intermediation and monetary authorities [BS52B00],7.0
2013-01-01,Educational services (except universities) [GS611B0],48.0
2013-01-01,Educational services [BS61000],1.0
2013-01-01,Electric power engineering construction [BS23C30],3.0
2013-01-01,"Electric power generation, transmission and distribution [BS22110]",7224.0
2013-01-01,Electrical  equipment and component manufacturing [BS335A0],1.0
2013-01-01,Electronic product manufacturing [BS334B0],4.0
2013-01-01,Fabricated metal product manufacturing [BS33200],16.0
2013-01-01,"Fishing, hunting and trapping [BS11400]",219.0
2013-01-01,Forestry and logging [BS11300],195.0
2013-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],15.0
2013-01-01,Furniture and related product manufacturing [BS33700],4.0
2013-01-01,Health care and social assistance [BS62000],63.0
2013-01-01,Hospitals [GS62200],26.0
2013-01-01,Household appliance manufacturing [BS33520],0.0
2013-01-01,Households: Electricity and other fuels,2203.0
2013-01-01,Households: Motor fuels and lubricants,2330.0
2013-01-01,Insurance carriers [BS52410],3.0
2013-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",13.0
2013-01-01,Lessors of real estate [BS53110],76.0
2013-01-01,Machinery manufacturing [BS33300],5.0
2013-01-01,Meat product manufacturing [BS31160],33.0
2013-01-01,Metal ore mining [BS21220],0.0
2013-01-01,Miscellaneous chemical product manufacturing [BS325C0],3.0
2013-01-01,Miscellaneous food manufacturing [BS311A0],15.0
2013-01-01,Miscellaneous manufacturing [BS33900],5.0
2013-01-01,Miscellaneous non-profit institutions serving households [NPA0000],20.0
2013-01-01,Motion picture and sound recording industries [BS51200],4.0
2013-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2013-01-01,Motor vehicle manufacturing [BS33610],1.0
2013-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2013-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",3.0
2013-01-01,Non-metallic mineral mining and quarrying [BS21230],29.0
2013-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],5.0
2013-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2013-01-01,Non-profit education services [NP61000],1.0
2013-01-01,Non-profit social assistance [NP62400],2.0
2013-01-01,Non-residential building construction [BS23B00],8.0
2013-01-01,Nursing and residential care facilities [GS62300],4.0
2013-01-01,Office supplies [FC13000],0.0
2013-01-01,Oil and gas engineering construction [BS23C20],2.0
2013-01-01,Oil and gas extraction [BS21100],591.0
2013-01-01,Operating supplies [FC12000],0.0
2013-01-01,Other Indigenous government services [GS91400],3.0
2013-01-01,Other activities of the construction industry [BS23E00],14.0
2013-01-01,Other engineering construction [BS23C50],2.0
2013-01-01,Other federal government services [GS91100],232.0
2013-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",68.0
2013-01-01,Other municipal government services [GS91300],111.0
2013-01-01,Other provincial and territorial government services [GS91200],54.0
2013-01-01,Other transportation equipment manufacturing [BS33690],0.0
2013-01-01,Owner-occupied dwellings [BS5311A],0.0
2013-01-01,Personal services and private households [BS81A00],11.0
2013-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",4.0
2013-01-01,Petroleum and coal product manufacturing [BS32400],777.0
2013-01-01,Pharmaceutical and medicine manufacturing [BS32540],2.0
2013-01-01,Pipeline transportation [BS48600],4.0
2013-01-01,Plastic product manufacturing [BS32610],9.0
2013-01-01,Postal service and couriers and messengers [BS49A00],40.0
2013-01-01,Primary metal manufacturing [BS33100],0.0
2013-01-01,Printing and related support activities [BS32300],1.0
2013-01-01,Professional and similar organisations [BS81300],0.0
2013-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",14.0
2013-01-01,"Pulp, paper and paperboard mills [BS32210]",714.0
2013-01-01,Radio and television broadcasting [BS51510],1.0
2013-01-01,Rail transportation [BS48200],29.0
2013-01-01,Railroad rolling stock manufacturing [BS33650],0.0
2013-01-01,Religious organizations [NP81310],7.0
2013-01-01,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00],45.0
2013-01-01,Repair and maintenance [BS81100],37.0
2013-01-01,Repair and maintenance [FC11000],0.0
2013-01-01,Repair construction [BS23D00],11.0
2013-01-01,Residential building construction [BS23A00],24.0
2013-01-01,Retail trade [BS4A000],227.0
2013-01-01,Rubber product manufacturing [BS32620],32.0
2013-01-01,Seafood product preparation and packaging [BS31170],80.0
2013-01-01,Ship and boat building [BS33660],2.0
2013-01-01,Soft drink and ice manufacturing [BS31211],1.0
2013-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2013-01-01,Support activities for agriculture and forestry [BS11500],53.0
2013-01-01,Support activities for mining and oil and gas extraction [BS21300],69.0
2013-01-01,Textile and textile product mills [BS31A00],17.0
2013-01-01,Tobacco manufacturing [BS31220],0.0
2013-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",84.0
2013-01-01,Transportation engineering construction [BS23C10],14.0
2013-01-01,Transportation margins [FC30000],0.0
2013-01-01,Truck transportation [BS48400],347.0
2013-01-01,Universities [GS61130],29.0
2013-01-01,Warehousing and storage [BS49300],5.0
2013-01-01,Waste management and remediation services [BS56200],41.0
2013-01-01,Water transportation [BS48300],362.0
2013-01-01,Wholesale trade [BS41000],113.0
2013-01-01,Wineries and distilleries [BS3121A],1.0
2013-01-01,Wood product manufacturing [BS32100],127.0
2014-01-01,Accommodation and food services [BS72000],51.0
2014-01-01,Administrative and support services [BS56100],32.0
2014-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2014-01-01,"Advertising, public relations and related services [BS54180]",2.0
2014-01-01,Aerospace product and parts manufacturing [BS33640],4.0
2014-01-01,Air transportation [BS48100],348.0
2014-01-01,Animal food manufacturing [BS31110],8.0
2014-01-01,"Arts, entertainment and recreation [BS71000]",2.0
2014-01-01,Balancing item: Aviation,-238.0
2014-01-01,Balancing item: Biomass,-1918.0
2014-01-01,Balancing item: Motor fuels,-229.0
2014-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,18.0
2014-01-01,Balancing item: Other differences,585.0
2014-01-01,Balancing item: Synthetic fluorinated gases,281.0
2014-01-01,Balancing item: Waste,532.0
2014-01-01,Basic chemical manufacturing [BS32510],6.0
2014-01-01,Breweries [BS31212],2.0
2014-01-01,Cannabis production (licensed) [BS111CL],0.0
2014-01-01,Cannabis production (unlicensed) [BS111CU],3.0
2014-01-01,Cannabis stores (licensed) [BS453BL],0.0
2014-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2014-01-01,Cement and concrete product manufacturing [BS32730],282.0
2014-01-01,Clothing and leather and allied product manufacturing [BS31B00],1.0
2014-01-01,Coal mining [BS21210],1.0
2014-01-01,Communication engineering construction [BS23C40],2.0
2014-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2014-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",11.0
2014-01-01,Converted paper product manufacturing [BS32220],12.0
2014-01-01,Crop and animal production (except cannabis) [BS11B00],468.0
2014-01-01,Crop and animal production [BS11A00],0.0
2014-01-01,Dairy product manufacturing [BS31150],4.0
2014-01-01,Depository credit intermediation and monetary authorities [BS52B00],5.0
2014-01-01,Educational services (except universities) [GS611B0],47.0
2014-01-01,Educational services [BS61000],1.0
2014-01-01,Electric power engineering construction [BS23C30],4.0
2014-01-01,"Electric power generation, transmission and distribution [BS22110]",6736.0
2014-01-01,Electrical  equipment and component manufacturing [BS335A0],1.0
2014-01-01,Electronic product manufacturing [BS334B0],2.0
2014-01-01,Fabricated metal product manufacturing [BS33200],13.0
2014-01-01,"Fishing, hunting and trapping [BS11400]",209.0
2014-01-01,Forestry and logging [BS11300],186.0
2014-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],23.0
2014-01-01,Furniture and related product manufacturing [BS33700],2.0
2014-01-01,Health care and social assistance [BS62000],60.0
2014-01-01,Hospitals [GS62200],21.0
2014-01-01,Household appliance manufacturing [BS33520],0.0
2014-01-01,Households: Electricity and other fuels,2049.0
2014-01-01,Households: Motor fuels and lubricants,2156.0
2014-01-01,Insurance carriers [BS52410],2.0
2014-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",11.0
2014-01-01,Lessors of real estate [BS53110],65.0
2014-01-01,Machinery manufacturing [BS33300],2.0
2014-01-01,Meat product manufacturing [BS31160],38.0
2014-01-01,Metal ore mining [BS21220],0.0
2014-01-01,Miscellaneous chemical product manufacturing [BS325C0],1.0
2014-01-01,Miscellaneous food manufacturing [BS311A0],15.0
2014-01-01,Miscellaneous manufacturing [BS33900],2.0
2014-01-01,Miscellaneous non-profit institutions serving households [NPA0000],18.0
2014-01-01,Motion picture and sound recording industries [BS51200],4.0
2014-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2014-01-01,Motor vehicle manufacturing [BS33610],1.0
2014-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2014-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",2.0
2014-01-01,Non-metallic mineral mining and quarrying [BS21230],28.0
2014-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],7.0
2014-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2014-01-01,Non-profit education services [NP61000],1.0
2014-01-01,Non-profit social assistance [NP62400],1.0
2014-01-01,Non-residential building construction [BS23B00],7.0
2014-01-01,Nursing and residential care facilities [GS62300],4.0
2014-01-01,Office supplies [FC13000],0.0
2014-01-01,Oil and gas engineering construction [BS23C20],1.0
2014-01-01,Oil and gas extraction [BS21100],796.0
2014-01-01,Operating supplies [FC12000],0.0
2014-01-01,Other Indigenous government services [GS91400],3.0
2014-01-01,Other activities of the construction industry [BS23E00],14.0
2014-01-01,Other engineering construction [BS23C50],1.0
2014-01-01,Other federal government services [GS91100],220.0
2014-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",54.0
2014-01-01,Other municipal government services [GS91300],102.0
2014-01-01,Other provincial and territorial government services [GS91200],36.0
2014-01-01,Other transportation equipment manufacturing [BS33690],0.0
2014-01-01,Owner-occupied dwellings [BS5311A],0.0
2014-01-01,Personal services and private households [BS81A00],10.0
2014-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",2.0
2014-01-01,Petroleum and coal product manufacturing [BS32400],3.0
2014-01-01,Pharmaceutical and medicine manufacturing [BS32540],7.0
2014-01-01,Pipeline transportation [BS48600],9.0
2014-01-01,Plastic product manufacturing [BS32610],6.0
2014-01-01,Postal service and couriers and messengers [BS49A00],30.0
2014-01-01,Primary metal manufacturing [BS33100],0.0
2014-01-01,Printing and related support activities [BS32300],3.0
2014-01-01,Professional and similar organisations [BS81300],0.0
2014-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",15.0
2014-01-01,"Pulp, paper and paperboard mills [BS32210]",1094.0
2014-01-01,Radio and television broadcasting [BS51510],1.0
2014-01-01,Rail transportation [BS48200],29.0
2014-01-01,Railroad rolling stock manufacturing [BS33650],0.0
2014-01-01,Religious organizations [NP81310],6.0
2014-01-01,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00],27.0
2014-01-01,Repair and maintenance [BS81100],35.0
2014-01-01,Repair and maintenance [FC11000],0.0
2014-01-01,Repair construction [BS23D00],11.0
2014-01-01,Residential building construction [BS23A00],21.0
2014-01-01,Retail trade (except cannabis) [BS4AA00],218.0
2014-01-01,Retail trade [BS4A000],0.0
2014-01-01,Rubber product manufacturing [BS32620],48.0
2014-01-01,Seafood product preparation and packaging [BS31170],85.0
2014-01-01,Ship and boat building [BS33660],3.0
2014-01-01,Soft drink and ice manufacturing [BS31211],2.0
2014-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2014-01-01,Support activities for agriculture and forestry [BS11500],45.0
2014-01-01,Support activities for mining and oil and gas extraction [BS21300],31.0
2014-01-01,Textile and textile product mills [BS31A00],21.0
2014-01-01,Tobacco manufacturing [BS31220],0.0
2014-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",81.0
2014-01-01,Transportation engineering construction [BS23C10],15.0
2014-01-01,Transportation margins [FC30000],0.0
2014-01-01,Truck transportation [BS48400],404.0
2014-01-01,Universities [GS61130],25.0
2014-01-01,Warehousing and storage [BS49300],4.0
2014-01-01,Waste management and remediation services [BS56200],20.0
2014-01-01,Water transportation [BS48300],315.0
2014-01-01,Wholesale trade [BS41000],104.0
2014-01-01,Wineries and distilleries [BS3121A],1.0
2014-01-01,Wood product manufacturing [BS32100],167.0
2015-01-01,Accommodation and food services [BS72000],59.0
2015-01-01,Administrative and support services [BS56100],52.0
2015-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2015-01-01,"Advertising, public relations and related services [BS54180]",2.0
2015-01-01,Aerospace product and parts manufacturing [BS33640],5.0
2015-01-01,Air transportation [BS48100],246.0
2015-01-01,Animal food manufacturing [BS31110],5.0
2015-01-01,"Arts, entertainment and recreation [BS71000]",2.0
2015-01-01,Balancing item: Aviation,-168.0
2015-01-01,Balancing item: Biomass,-1803.0
2015-01-01,Balancing item: Motor fuels,-223.0
2015-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,14.0
2015-01-01,Balancing item: Other differences,640.0
2015-01-01,Balancing item: Synthetic fluorinated gases,294.0
2015-01-01,Balancing item: Waste,503.0
2015-01-01,Basic chemical manufacturing [BS32510],1.0
2015-01-01,Breweries [BS31212],4.0
2015-01-01,Cannabis production (licensed) [BS111CL],0.0
2015-01-01,Cannabis production (unlicensed) [BS111CU],3.0
2015-01-01,Cannabis stores (licensed) [BS453BL],0.0
2015-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2015-01-01,Cement and concrete product manufacturing [BS32730],283.0
2015-01-01,Clothing and leather and allied product manufacturing [BS31B00],1.0
2015-01-01,Coal mining [BS21210],1.0
2015-01-01,Communication engineering construction [BS23C40],2.0
2015-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2015-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",12.0
2015-01-01,Converted paper product manufacturing [BS32220],19.0
2015-01-01,Crop and animal production (except cannabis) [BS11B00],457.0
2015-01-01,Crop and animal production [BS11A00],0.0
2015-01-01,Dairy product manufacturing [BS31150],5.0
2015-01-01,Depository credit intermediation and monetary authorities [BS52B00],6.0
2015-01-01,Educational services (except universities) [GS611B0],57.0
2015-01-01,Educational services [BS61000],2.0
2015-01-01,Electric power engineering construction [BS23C30],4.0
2015-01-01,"Electric power generation, transmission and distribution [BS22110]",6457.0
2015-01-01,Electrical  equipment and component manufacturing [BS335A0],0.0
2015-01-01,Electronic product manufacturing [BS334B0],1.0
2015-01-01,Fabricated metal product manufacturing [BS33200],14.0
2015-01-01,"Fishing, hunting and trapping [BS11400]",256.0
2015-01-01,Forestry and logging [BS11300],176.0
2015-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],6.0
2015-01-01,Furniture and related product manufacturing [BS33700],2.0
2015-01-01,Health care and social assistance [BS62000],63.0
2015-01-01,Hospitals [GS62200],28.0
2015-01-01,Household appliance manufacturing [BS33520],0.0
2015-01-01,Households: Electricity and other fuels,2164.0
2015-01-01,Households: Motor fuels and lubricants,2542.0
2015-01-01,Insurance carriers [BS52410],3.0
2015-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",14.0
2015-01-01,Lessors of real estate [BS53110],78.0
2015-01-01,Machinery manufacturing [BS33300],3.0
2015-01-01,Meat product manufacturing [BS31160],12.0
2015-01-01,Metal ore mining [BS21220],0.0
2015-01-01,Miscellaneous chemical product manufacturing [BS325C0],2.0
2015-01-01,Miscellaneous food manufacturing [BS311A0],21.0
2015-01-01,Miscellaneous manufacturing [BS33900],3.0
2015-01-01,Miscellaneous non-profit institutions serving households [NPA0000],26.0
2015-01-01,Motion picture and sound recording industries [BS51200],5.0
2015-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2015-01-01,Motor vehicle manufacturing [BS33610],1.0
2015-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2015-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",3.0
2015-01-01,Non-metallic mineral mining and quarrying [BS21230],31.0
2015-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],12.0
2015-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2015-01-01,Non-profit education services [NP61000],1.0
2015-01-01,Non-profit social assistance [NP62400],1.0
2015-01-01,Non-residential building construction [BS23B00],8.0
2015-01-01,Nursing and residential care facilities [GS62300],5.0
2015-01-01,Office supplies [FC13000],0.0
2015-01-01,Oil and gas engineering construction [BS23C20],1.0
2015-01-01,Oil and gas extraction [BS21100],613.0
2015-01-01,Operating supplies [FC12000],0.0
2015-01-01,Other Indigenous government services [GS91400],3.0
2015-01-01,Other activities of the construction industry [BS23E00],17.0
2015-01-01,Other engineering construction [BS23C50],2.0
2015-01-01,Other federal government services [GS91100],263.0
2015-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",68.0
2015-01-01,Other municipal government services [GS91300],115.0
2015-01-01,Other provincial and territorial government services [GS91200],34.0
2015-01-01,Other transportation equipment manufacturing [BS33690],0.0
2015-01-01,Owner-occupied dwellings [BS5311A],0.0
2015-01-01,Personal services and private households [BS81A00],14.0
2015-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",2.0
2015-01-01,Petroleum and coal product manufacturing [BS32400],9.0
2015-01-01,Pharmaceutical and medicine manufacturing [BS32540],4.0
2015-01-01,Pipeline transportation [BS48600],7.0
2015-01-01,Plastic product manufacturing [BS32610],6.0
2015-01-01,Postal service and couriers and messengers [BS49A00],43.0
2015-01-01,Primary metal manufacturing [BS33100],0.0
2015-01-01,Printing and related support activities [BS32300],3.0
2015-01-01,Professional and similar organisations [BS81300],0.0
2015-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",22.0
2015-01-01,"Pulp, paper and paperboard mills [BS32210]",934.0
2015-01-01,Radio and television broadcasting [BS51510],1.0
2015-01-01,Rail transportation [BS48200],30.0
2015-01-01,Railroad rolling stock manufacturing [BS33650],0.0
2015-01-01,Religious organizations [NP81310],7.0
2015-01-01,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00],32.0
2015-01-01,Repair and maintenance [BS81100],42.0
2015-01-01,Repair and maintenance [FC11000],0.0
2015-01-01,Repair construction [BS23D00],16.0
2015-01-01,Residential building construction [BS23A00],36.0
2015-01-01,Retail trade (except cannabis) [BS4AA00],225.0
2015-01-01,Retail trade [BS4A000],0.0
2015-01-01,Rubber product manufacturing [BS32620],55.0
2015-01-01,Seafood product preparation and packaging [BS31170],50.0
2015-01-01,Ship and boat building [BS33660],5.0
2015-01-01,Soft drink and ice manufacturing [BS31211],3.0
2015-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2015-01-01,Support activities for agriculture and forestry [BS11500],61.0
2015-01-01,Support activities for mining and oil and gas extraction [BS21300],33.0
2015-01-01,Textile and textile product mills [BS31A00],8.0
2015-01-01,Tobacco manufacturing [BS31220],0.0
2015-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",93.0
2015-01-01,Transportation engineering construction [BS23C10],16.0
2015-01-01,Transportation margins [FC30000],0.0
2015-01-01,Truck transportation [BS48400],397.0
2015-01-01,Universities [GS61130],34.0
2015-01-01,Warehousing and storage [BS49300],4.0
2015-01-01,Waste management and remediation services [BS56200],38.0
2015-01-01,Water transportation [BS48300],258.0
2015-01-01,Wholesale trade [BS41000],112.0
2015-01-01,Wineries and distilleries [BS3121A],1.0
2015-01-01,Wood product manufacturing [BS32100],161.0
2016-01-01,Accommodation and food services [BS72000],51.0
2016-01-01,Administrative and support services [BS56100],51.0
2016-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2016-01-01,"Advertising, public relations and related services [BS54180]",2.0
2016-01-01,Aerospace product and parts manufacturing [BS33640],10.0
2016-01-01,Air transportation [BS48100],247.0
2016-01-01,Animal food manufacturing [BS31110],3.0
2016-01-01,"Arts, entertainment and recreation [BS71000]",2.0
2016-01-01,Balancing item: Aviation,-185.0
2016-01-01,Balancing item: Biomass,-1771.0
2016-01-01,Balancing item: Motor fuels,-231.0
2016-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,22.0
2016-01-01,Balancing item: Other differences,574.0
2016-01-01,Balancing item: Synthetic fluorinated gases,295.0
2016-01-01,Balancing item: Waste,516.0
2016-01-01,Basic chemical manufacturing [BS32510],4.0
2016-01-01,Breweries [BS31212],5.0
2016-01-01,Cannabis production (licensed) [BS111CL],1.0
2016-01-01,Cannabis production (unlicensed) [BS111CU],3.0
2016-01-01,Cannabis stores (licensed) [BS453BL],0.0
2016-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2016-01-01,Cement and concrete product manufacturing [BS32730],287.0
2016-01-01,Clothing and leather and allied product manufacturing [BS31B00],1.0
2016-01-01,Coal mining [BS21210],1.0
2016-01-01,Communication engineering construction [BS23C40],4.0
2016-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2016-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",16.0
2016-01-01,Converted paper product manufacturing [BS32220],17.0
2016-01-01,Crop and animal production (except cannabis) [BS11B00],449.0
2016-01-01,Crop and animal production [BS11A00],0.0
2016-01-01,Dairy product manufacturing [BS31150],5.0
2016-01-01,Depository credit intermediation and monetary authorities [BS52B00],5.0
2016-01-01,Educational services (except universities) [GS611B0],35.0
2016-01-01,Educational services [BS61000],2.0
2016-01-01,Electric power engineering construction [BS23C30],12.0
2016-01-01,"Electric power generation, transmission and distribution [BS22110]",6374.0
2016-01-01,Electrical  equipment and component manufacturing [BS335A0],1.0
2016-01-01,Electronic product manufacturing [BS334B0],1.0
2016-01-01,Fabricated metal product manufacturing [BS33200],13.0
2016-01-01,"Fishing, hunting and trapping [BS11400]",252.0
2016-01-01,Forestry and logging [BS11300],173.0
2016-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],5.0
2016-01-01,Furniture and related product manufacturing [BS33700],2.0
2016-01-01,Health care and social assistance [BS62000],60.0
2016-01-01,Hospitals [GS62200],18.0
2016-01-01,Household appliance manufacturing [BS33520],0.0
2016-01-01,Households: Electricity and other fuels,1859.0
2016-01-01,Households: Motor fuels and lubricants,2560.0
2016-01-01,Insurance carriers [BS52410],2.0
2016-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",15.0
2016-01-01,Lessors of real estate [BS53110],53.0
2016-01-01,Machinery manufacturing [BS33300],3.0
2016-01-01,Meat product manufacturing [BS31160],14.0
2016-01-01,Metal ore mining [BS21220],0.0
2016-01-01,Miscellaneous chemical product manufacturing [BS325C0],1.0
2016-01-01,Miscellaneous food manufacturing [BS311A0],18.0
2016-01-01,Miscellaneous manufacturing [BS33900],3.0
2016-01-01,Miscellaneous non-profit institutions serving households [NPA0000],18.0
2016-01-01,Motion picture and sound recording industries [BS51200],5.0
2016-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2016-01-01,Motor vehicle manufacturing [BS33610],1.0
2016-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2016-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",3.0
2016-01-01,Non-metallic mineral mining and quarrying [BS21230],24.0
2016-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],5.0
2016-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2016-01-01,Non-profit education services [NP61000],1.0
2016-01-01,Non-profit social assistance [NP62400],1.0
2016-01-01,Non-residential building construction [BS23B00],9.0
2016-01-01,Nursing and residential care facilities [GS62300],3.0
2016-01-01,Office supplies [FC13000],0.0
2016-01-01,Oil and gas engineering construction [BS23C20],1.0
2016-01-01,Oil and gas extraction [BS21100],475.0
2016-01-01,Operating supplies [FC12000],0.0
2016-01-01,Other Indigenous government services [GS91400],4.0
2016-01-01,Other activities of the construction industry [BS23E00],19.0
2016-01-01,Other engineering construction [BS23C50],4.0
2016-01-01,Other federal government services [GS91100],285.0
2016-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",54.0
2016-01-01,Other municipal government services [GS91300],106.0
2016-01-01,Other provincial and territorial government services [GS91200],38.0
2016-01-01,Other transportation equipment manufacturing [BS33690],0.0
2016-01-01,Owner-occupied dwellings [BS5311A],0.0
2016-01-01,Personal services and private households [BS81A00],12.0
2016-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",3.0
2016-01-01,Petroleum and coal product manufacturing [BS32400],8.0
2016-01-01,Pharmaceutical and medicine manufacturing [BS32540],2.0
2016-01-01,Pipeline transportation [BS48600],1.0
